"CD_AnnotatedMembers_Overlap","CD_AnnotatedMembers_Pvalue","CD_AnnotatedMembers_Size","CD_CommunityName","CD_Labeled","CD_MemberList","CD_MemberList_LogSize","CD_MemberList_Size","name","selected"
"0.0","0.0","0","false","ALB FABP1","1.0","2","C124","false","C124"
"0.0","0.0","0","false","ATP7B MT1A","1.0","2","C125","false","C125"
"0.0","0.0","0","false","ATP7B SLC30A10","1.0","2","C126","false","C126"
"0.0","0.0","0","false","ADH5 ESD","1.0","2","C127","false","C127"
"0.0","0.0","0","false","ADH5 ALDH1A1","1.0","2","C128","false","C128"
"0.0","0.0","0","false","ADH4 ALDH1A1","1.0","2","C129","false","C129"
"0.0","0.0","0","false","ALB HP","1.0","2","C130","false","C130"
"0.0","0.0","0","false","AKR1B10 AKR7A3","1.0","2","C131","false","C131"
"0.0","0.0","0","false","ALB APOE","1.0","2","C132","false","C132"
"0.0","0.0","0","false","ALB AMBP","1.0","2","C133","false","C133"
"0.0","0.0","0","false","MT1E MT4","1.0","2","C134","false","C134"
"0.0","0.0","0","false","MT1E MT3","1.0","2","C135","false","C135"
"0.0","0.0","0","false","MT1E MT2A","1.0","2","C136","false","C136"
"0.0","0.0","0","false","MPO S100A9","1.0","2","C137","false","C137"
"0.0","0.0","0","false","ALB LPO","1.0","2","C138","false","C138"
"0.0","0.0","0","false","DUOX1 DUOX2","1.0","2","C139","false","C139"
"0.0","0.0","0","false","ABCG2 PDZK1","1.0","2","C140","false","C140"
"0.0","0.0","0","false","MT1X MT2A","1.0","2","C141","false","C141"
"0.0","0.0","0","false","MT1E SLC30A1","1.0","2","C142","false","C142"
"0.0","0.0","0","false","FABP1 GSTA1","1.0","2","C143","false","C143"
"0.0","0.0","0","false","ABCG2 SLC47A2","1.0","2","C144","false","C144"
"0.0","0.0","0","false","ABCG2 ALDH1A1","1.0","2","C145","false","C145"
"0.0","0.0","0","false","APOE NOS3","1.0","2","C146","false","C146"
"0.0","0.0","0","false","ABCG2 SLC47A1","1.0","2","C147","false","C147"
"0.0","0.0","0","false","ADH4 ESD","1.0","2","C148","false","C148"
"0.0","0.0","0","false","TXNDC17 TXNL1","1.0","2","C149","false","C149"
"0.0","0.0","0","false","ATP7B GLRX","1.0","2","C150","false","C150"
"0.0","0.0","0","false","AKR1A1 AKR7A3","1.0","2","C151","false","C151"
"0.0","0.0","0","false","ABCG2 ALB","1.0","2","C152","false","C152"
"0.0","0.0","0","false","ALB MPO","1.0","2","C153","false","C153"
"0.0","0.0","0","false","PRDX1 SRXN1","1.0","2","C154","false","C154"
"0.0","0.0","0","false","ATP7B ESD","1.0","2","C155","false","C155"
"0.0","0.0","0","false","ADH5 AKR1A1","1.0","2","C156","false","C156"
"0.0","0.0","0","false","LTC4S MGST1","1.0","2","C157","false","C157"
"0.0","0.0","0","false","PRXL2A PRXL2C","1.0","2","C158","false","C158"
"0.0","0.0","0","false","PRDX3 PRDX5","1.0","2","C159","false","C159"
"0.0","0.0","0","false","MT1E MT1H","1.0","2","C160","false","C160"
"0.0","0.0","0","false","CCS SOD3","1.0","2","C161","false","C161"
"0.0","0.0","0","false","CCS SOD1","1.0","2","C162","false","C162"
"0.0","0.0","0","false","PARK7 SOD3","1.0","2","C163","false","C163"
"0.0","0.0","0","false","PRDX1 SESN2","1.0","2","C164","false","C164"
"0.0","0.0","0","false","PRDX5 SOD1","1.0","2","C165","false","C165"
"0.0","0.0","0","false","RDH11 SELENOF","1.0","2","C166","false","C166"
"0.0","0.0","0","false","SELENOT SELENOW","1.0","2","C167","false","C167"
"0.0","0.0","0","false","ABCB6 SLC15A2","1.0","2","C168","false","C168"
"0.0","0.0","0","false","MT1G MT1M","1.0","2","C169","false","C169"
"0.0","0.0","0","false","MT1F MT1X","1.0","2","C170","false","C170"
"0.0","0.0","0","false","SESN1 SESN2","1.0","2","C171","false","C171"
"0.0","0.0","0","false","DUOX1 TPO","1.0","2","C172","false","C172"
"0.0","0.0","0","false","DUOX1 LPO","1.0","2","C173","false","C173"
"0.0","0.0","0","false","MARC1 MARC2","1.0","2","C174","false","C174"
"0.0","0.0","0","false","SLC22A18 SLC22A5","1.0","2","C175","false","C175"
"0.0","0.0","0","false","SLC30A10 TPO","1.0","2","C176","false","C176"
"0.0","0.0","0","false","ABCB1 SLC47A1","1.0","2","C177","false","C177"
"0.0","0.0","0","false","NFE2L2 SRXN1","1.0","2","C178","false","C178"
"0.0","0.0","0","false","NFE2L2 PARK7","1.0","2","C179","false","C179"
"0.0","0.0","0","false","NFE2L2 NQO1","1.0","2","C180","false","C180"
"0.0","0.0","0","false","SLC15A2 SLC22A5 SLC47A1","1.585","3","C181","false","C181"
"0.0","0.0","0","false","ALB HBA2 NOS3","1.585","3","C182","false","C182"
"0.0","0.0","0","false","HBE1 HBG1 HBZ","1.585","3","C183","false","C183"
