"__mclCluster","name","selected"
"28","TRPM4","false","TRPM4"
"17","SLC37A4","false","SLC37A4"
"1","RIPOR2","false","RIPOR2"
"1","TTC8","false","TTC8"
"2","TPBG","false","TPBG"
"3","SEMA4G","false","SEMA4G"
"3","SEMA4C","false","SEMA4C"
"1","PLEKHG5","false","PLEKHG5"
"21","PLGRKT","false","PLGRKT"
"1","PIK3C2G","false","PIK3C2G"
"1","PTPRO","false","PTPRO"
"3","SEMA4B","false","SEMA4B"
"3","SEMA4A","false","SEMA4A"
"3","SEMA6B","false","SEMA6B"
"35","PALLD","false","PALLD"
"35","MYPN","false","MYPN"
"36","MYCBP2","false","MYCBP2"
"1","MACO1","false","MACO1"
"29","NEXN","false","NEXN"
"28","SCN1B","false","SCN1B"
"21","KLF7","false","KLF7"
"29","LSP1","false","LSP1"
"30","LECT2","false","LECT2"
"37","PPP3CB","false","PPP3CB"
"22","NIBAN2","false","NIBAN2"
"38","HMGB2","false","HMGB2"
"3","PLXNB3","false","PLXNB3"
"11","GBF1","false","GBF1"
"31","LYPLA2","false","LYPLA2"
"2","POU4F2","false","POU4F2"
"1","PIP5K1C","false","PIP5K1C"
"3","PLXNC1","false","PLXNC1"
"1","MOSPD2","false","MOSPD2"
"1","TAFA4","false","TAFA4"
"4","TMEFF1","false","TMEFF1"
"6","FLRT2","false","FLRT2"
"11","FEZ2","false","FEZ2"
"11","KIF5C","false","KIF5C"
"39","EXT1","false","EXT1"
"2","EVX1","false","EVX1"
"4","PTPRJ","false","PTPRJ"
"10","FER","false","FER"
"11","KIF5B","false","KIF5B"
"3","SEMA4F","false","SEMA4F"
"1","PDE4B","false","PDE4B"
"11","FEZ1","false","FEZ1"
"40","PRKCQ","false","PRKCQ"
"12","HOXB9","false","HOXB9"
"3","PLXNB2","false","PLXNB2"
"3","SEMA6C","false","SEMA6C"
"2","FOXD1","false","FOXD1"
"3","SEMA6D","false","SEMA6D"
"3","PLXND1","false","PLXND1"
"36","TSC2","false","TSC2"
"2","ISL2","false","ISL2"
"5","EPHA10","false","EPHA10"
"5","EPHA5","false","EPHA5"
"5","EPHA7","false","EPHA7"
"5","EPHB1","false","EPHB1"
"5","EPHB6","false","EPHB6"
"5","EPHA6","false","EPHA6"
"3","SEMA5B","false","SEMA5B"
"6","ROBO4","false","ROBO4"
"6","ECSCR","false","ECSCR"
"2","RYK","false","RYK"
"3","SEMA6A","false","SEMA6A"
"17","SRP54","false","SRP54"
"17","RPL24","false","RPL24"
"17","SBDS","false","SBDS"
"8","DEFB103B","false","DEFB103B"
"8","DEFB130A","false","DEFB130A"
"8","DEFB130B","false","DEFB130B"
"8","DEFB104B","false","DEFB104B"
"6","DSCAM","false","DSCAM"
"41","ENAH","false","ENAH"
"6","SIAH1","false","SIAH1"
"6","UNC5B","false","UNC5B"
"6","DRAXIN","false","DRAXIN"
"6","NTN5","false","NTN5"
