"__mclCluster","name","selected"
"37","ZNF675","false","ZNF675"
"70","TM9SF4","false","TM9SF4"
"5","SLC9C2","false","SLC9C2"
"109","TMEM178A","false","TMEM178A"
"110","SLC35D3","false","SLC35D3"
"6","SLC39A12","false","SLC39A12"
"6","SLC39A3","false","SLC39A3"
"53","TSPOAP1","false","TSPOAP1"
"70","SLC10A7","false","SLC10A7"
"71","STXBP5L","false","STXBP5L"
"57","TBC1D20","false","TBC1D20"
"9","SELENOT","false","SELENOT"
"58","UNC80","false","UNC80"
"72","RHEX","false","RHEX"
"73","PBLD","false","PBLD"
"111","SLC12A9","false","SLC12A9"
"111","PASK","false","PASK"
"74","ORMDL1","false","ORMDL1"
"13","OR10J5","false","OR10J5"
"112","POTEI","false","POTEI"
"75","OCIAD2","false","OCIAD2"
"9","NXNL2","false","NXNL2"
"113","SLC28A2","false","SLC28A2"
"114","NANOS1","false","NANOS1"
"38","TTC7A","false","TTC7A"
"1","TRIM6","false","TRIM6"
"23","RP1","false","RP1"
"6","MT1HL1","false","MT1HL1"
"6","SLC30A2","false","SLC30A2"
"6","SLC39A4","false","SLC39A4"
"6","MT1M","false","MT1M"
"5","SLC9A7","false","SLC9A7"
"115","TP53INP2","false","TP53INP2"
"59","LYAR","false","LYAR"
"26","PM20D1","false","PM20D1"
"3","SFXN1","false","SFXN1"
"39","RAB38","false","RAB38"
"76","LRRC19","false","LRRC19"
"29","LETM2","false","LETM2"
"24","SLC25A23","false","SLC25A23"
"25","USP45","false","USP45"
"1","SIT1","false","SIT1"
"116","LARGE2","false","LARGE2"
"112","OPRPN","false","OPRPN"
"60","RAP1GDS1","false","RAP1GDS1"
"18","WNK2","false","WNK2"
"27","KLF7","false","KLF7"
"117","KDF1","false","KDF1"
"118","KCTD17","false","KCTD17"
"40","SLC12A7","false","SLC12A7"
"77","TPCN2","false","TPCN2"
"78","MFHAS1","false","MFHAS1"
"16","SH2B2","false","SH2B2"
"1","PTPRN2","false","PTPRN2"
"53","RPH3AL","false","RPH3AL"
"119","SLC25A46","false","SLC25A46"
"120","ILDR2","false","ILDR2"
