"__mclCluster","name","selected"
"116","TRIM75P","false","TRIM75P"
"117","ZNF568","false","ZNF568"
"58","TPGS1","false","TPGS1"
"118","VASH1","false","VASH1"
"5","TDRD10","false","TDRD10"
"79","TBC1D20","false","TBC1D20"
"32","TBATA","false","TBATA"
"59","ZFAT","false","ZFAT"
"119","SPIN2B","false","SPIN2B"
"80","SPATA31D4","false","SPATA31D4"
"120","SPATA31A7","false","SPATA31A7"
"121","SPATA31A1","false","SPATA31A1"
"24","SPATA25","false","SPATA25"
"81","TSPY10","false","TSPY10"
"122","SLC9B2","false","SLC9B2"
"33","SEPTIN14","false","SEPTIN14"
"33","SEPTIN1","false","SEPTIN1"
"60","VCX","false","VCX"
"10","TPPP3","false","TPPP3"
"34","TRO","false","TRO"
"25","RNF38","false","RNF38"
"123","RNF151","false","RNF151"
"81","TSPY3","false","TSPY3"
"82","TSPY8","false","TSPY8"
"3","SYCE1L","false","SYCE1L"
"39","UNC13B","false","UNC13B"
"124","SHISA6","false","SHISA6"
"35","UNC5C","false","UNC5C"
"27","TDRP","false","TDRP"
"83","STRBP","false","STRBP"
"21","POMZP3","false","POMZP3"
"32","SPATC1L","false","SPATC1L"
"2","RAI14","false","RAI14"
"61","TRPM2","false","TRPM2"
"62","PARP11","false","PARP11"
"1","PAQR8","false","PAQR8"
"1","PAQR7","false","PAQR7"
"1","PAQR5","false","PAQR5"
"125","VPS13A","false","VPS13A"
"84","PAIP2","false","PAIP2"
"22","PAFAH1B3","false","PAFAH1B3"
"126","ZNF296","false","ZNF296"
"85","NPAP1","false","NPAP1"
"80","TPPP2","false","TPPP2"
"84","SPATA24","false","SPATA24"
"2","OSGIN2","false","OSGIN2"
"127","TOB2","false","TOB2"
"128","SLC38A2","false","SLC38A2"
"63","MORN2","false","MORN2"
"86","MMP23B","false","MMP23B"
"64","RIMBP3B","false","RIMBP3B"
"64","RIMBP3C","false","RIMBP3C"
"25","UBE2Q1","false","UBE2Q1"
"87","TUT7","false","TUT7"
"35","ROBO2","false","ROBO2"
"1","ZNF35","false","ZNF35"
"15","SLC2A14","false","SLC2A14"
"129","PRLHR","false","PRLHR"
"65","RBM7","false","RBM7"
"28","LLCFC1","false","LLCFC1"
"1","TNC","false","TNC"
"8","RLN1","false","RLN1"
"1","PLCD3","false","PLCD3"
"1","PLCD4","false","PLCD4"
"36","MEIG1","false","MEIG1"
"128","SLC38A1","false","SLC38A1"
"1","WFDC2","false","WFDC2"
"130","PLEKHA1","false","PLEKHA1"
"6","STK35","false","STK35"
"6","PDIK1L","false","PDIK1L"
"88","UMODL1","false","UMODL1"
"131","VASH2","false","VASH2"
,"ZMYND15","false","ZMYND15"
"131","HSF2","false","HSF2"
"66","SYCP2L","false","SYCP2L"
"66","HROB","false","HROB"
"29","HOXD10","false","HOXD10"
"29","HOXD9","false","HOXD9"
"89","TEX19","false","TEX19"
"1","HMX3","false","HMX3"
"90","KPNA6","false","KPNA6"
"1","NHLH2","false","NHLH2"
,"TLE6","false","TLE6"
"132","HYAL3","false","HYAL3"
"119","SPIN1","false","SPIN1"
"42","NPM2","false","NPM2"
"42","SEBOX","false","SEBOX"
"25","SPATA5","false","SPATA5"
"29","KRT9","false","KRT9"
"42","H1-6","false","H1-6"
"42","H1-7","false","H1-7"
"5","PIWIL3","false","PIWIL3"
"48","OVOL2","false","OVOL2"
"133","SPTBN4","false","SPTBN4"
"4","RAB13","false","RAB13"
"49","SELENOF","false","SELENOF"
"91","GNPDA1","false","GNPDA1"
"92","SPIN4","false","SPIN4"
"92","GMCL2","false","GMCL2"
"134","GLRB","false","GLRB"
"135","GK2","false","GK2"
"26","GJA10","false","GJA10"
"26","GJB5","false","GJB5"
"60","SCX","false","SCX"
"43","PCDH12","false","PCDH12"
"1","HAND1","false","HAND1"
"26","P2RX1","false","P2RX1"
"50","TESC","false","TESC"
"22","PANK2","false","PANK2"
"1","FUT7","false","FUT7"
"35","LHX4","false","LHX4"
"93","FOXJ3","false","FOXJ3"
"8","MAGED2","false","MAGED2"
"29","HOXA11","false","HOXA11"
"94","SPIRE1","false","SPIRE1"
"67","SPATA48","false","SPATA48"
"40","TCF23","false","TCF23"
"1","INSRR","false","INSRR"
"84","ZSCAN2","false","ZSCAN2"
"35","ZFP41-2","false","ZFP41-2"
"29","HOXD13","false","HOXD13"
"2","LDOC1","false","LDOC1"
"94","SPIRE2","false","SPIRE2"
"3","FAM9C","false","FAM9C"
"136","FAM209B","false","FAM209B"
"80","TMPRSS12","false","TMPRSS12"
