"__mclCluster","name","selected"
"122","TRIM75P","false","TRIM75P"
"123","ZNF568","false","ZNF568"
"62","TPGS1","false","TPGS1"
"124","VASH1","false","VASH1"
"7","TDRD10","false","TDRD10"
"85","TBC1D20","false","TBC1D20"
"36","TBATA","false","TBATA"
"63","ZFAT","false","ZFAT"
"125","SPIN2B","false","SPIN2B"
"86","SPATA31D4","false","SPATA31D4"
"126","SPATA31A7","false","SPATA31A7"
"127","SPATA31A1","false","SPATA31A1"
"27","SPATA25","false","SPATA25"
"87","TSPY10","false","TSPY10"
"128","SLC9B2","false","SLC9B2"
"37","SEPTIN14","false","SEPTIN14"
"37","SEPTIN1","false","SEPTIN1"
"64","VCX","false","VCX"
"15","TPPP3","false","TPPP3"
"42","TRO","false","TRO"
"28","RNF38","false","RNF38"
"129","RNF151","false","RNF151"
"87","TSPY3","false","TSPY3"
"88","TSPY8","false","TSPY8"
"4","SYCE1L","false","SYCE1L"
"43","UNC13B","false","UNC13B"
"130","SHISA6","false","SHISA6"
"38","UNC5C","false","UNC5C"
"29","TDRP","false","TDRP"
"89","STRBP","false","STRBP"
"30","POMZP3","false","POMZP3"
"36","SPATC1L","false","SPATC1L"
"2","RAI14","false","RAI14"
"65","TRPM2","false","TRPM2"
"66","PARP11","false","PARP11"
"11","PAQR8","false","PAQR8"
"11","PAQR7","false","PAQR7"
"11","PAQR5","false","PAQR5"
"131","VPS13A","false","VPS13A"
"90","PAIP2","false","PAIP2"
"25","PAFAH1B3","false","PAFAH1B3"
"132","ZNF296","false","ZNF296"
"91","NPAP1","false","NPAP1"
"86","TPPP2","false","TPPP2"
"90","SPATA24","false","SPATA24"
"3","OSGIN2","false","OSGIN2"
"133","TOB2","false","TOB2"
"134","SLC38A2","false","SLC38A2"
"67","MORN2","false","MORN2"
"68","RIMBP3B","false","RIMBP3B"
"68","RIMBP3C","false","RIMBP3C"
"28","UBE2Q1","false","UBE2Q1"
"92","TUT7","false","TUT7"
"38","ROBO2","false","ROBO2"
"1","ZNF35","false","ZNF35"
"19","SLC2A14","false","SLC2A14"
"135","PRLHR","false","PRLHR"
"69","RBM7","false","RBM7"
"32","LLCFC1","false","LLCFC1"
"33","TNC","false","TNC"
"12","RLN1","false","RLN1"
"1","PLCD3","false","PLCD3"
"1","PLCD4","false","PLCD4"
"39","MEIG1","false","MEIG1"
"134","SLC38A1","false","SLC38A1"
"1","WFDC2","false","WFDC2"
"136","PLEKHA1","false","PLEKHA1"
"9","STK35","false","STK35"
"9","PDIK1L","false","PDIK1L"
"93","UMODL1","false","UMODL1"
"137","VASH2","false","VASH2"
,"ZMYND15","false","ZMYND15"
"137","HSF2","false","HSF2"
"70","SYCP2L","false","SYCP2L"
"70","HROB","false","HROB"
"34","HOXD10","false","HOXD10"
"34","HOXD9","false","HOXD9"
"94","TEX19","false","TEX19"
"1","HMX3","false","HMX3"
"95","KPNA6","false","KPNA6"
"1","NHLH2","false","NHLH2"
,"TLE6","false","TLE6"
"138","HYAL3","false","HYAL3"
"125","SPIN1","false","SPIN1"
"46","NPM2","false","NPM2"
"46","SEBOX","false","SEBOX"
"28","SPATA5","false","SPATA5"
"34","KRT9","false","KRT9"
"46","H1-6","false","H1-6"
"46","H1-7","false","H1-7"
"7","PIWIL3","false","PIWIL3"
"51","OVOL2","false","OVOL2"
"139","SPTBN4","false","SPTBN4"
"6","RAB13","false","RAB13"
"47","SELENOF","false","SELENOF"
"96","GNPDA1","false","GNPDA1"
"97","SPIN4","false","SPIN4"
"97","GMCL2","false","GMCL2"
"140","GLRB","false","GLRB"
"141","GK2","false","GK2"
"31","GJA10","false","GJA10"
"31","GJB5","false","GJB5"
"64","SCX","false","SCX"
"48","PCDH12","false","PCDH12"
"1","HAND1","false","HAND1"
"31","P2RX1","false","P2RX1"
"52","TESC","false","TESC"
"25","PANK2","false","PANK2"
"53","FUT7","false","FUT7"
"38","LHX4","false","LHX4"
"98","FOXJ3","false","FOXJ3"
