"CD_AnnotatedMembers_Overlap","CD_AnnotatedMembers_Pvalue","CD_AnnotatedMembers_Size","CD_CommunityName","CD_Labeled","CD_MemberList","CD_MemberList_LogSize","CD_MemberList_Size","name","selected"
"0.0","0.0","0","false","FAM209A FAM209B FAM71D INPP5B PLCB1 PLCD3 PLCD4 PLCZ1 SLC9B1 WBP2NL","3.322","10","C66309","false","C66309"
"0.0","0.0","0","false","ABAT ABHD2 ACOX1 ACR ACRBP ACRV1 ACSBG1 ACSBG2 ACSL4 ACTL7A ACTL9 ADAM2 ADAM20 ADAM21 ADAM32 AGFG1 AKAP3 AKAP4 ALPL ARMC12 ARMC2 ASTL AZIN2 B4GALT1 BRDT BSPH1 BTBD18 C16orf92 C3orf62 C7orf61 C9orf24 CABS1 CABYR CACNA1I CALR3 CATSPER1 CATSPER2 CATSPER3 CATSPER4 CATSPERB CATSPERD CATSPERE CATSPERG CATSPERZ CCDC136 CCDC151 CCDC182 CCDC39 CCDC40 CCDC42 CCDC63 CCIN CFAP157 CFAP206 CFAP221 CFAP43 CFAP44 CFAP45 CFAP47 CFAP52 CFAP54 CFAP58 CFAP65 CFAP69 CLGN CNBD2 CRISP1 CSMD1 CYLC1 CYLC2 DDO DEFB1 DEFB118 DEFB126 DKKL1 DLEC1 DMRTC2 DNAH1 DNAH11 DNAH5 DNAI1 DPY19L2 DRC7 DUSP13 DZIP1 EDDM3A EFCAB9 ELSPBP1 ENKUR EQTN FABP9 FAM170B FAM209A FAM209B FAM71D FAM71F1 FEM1B FETUB FMN2 FOLR2 FOLR3 FOXJ1 FOXJ2 FSCN3 FSIP2 GALNTL5 GAS8 GGN GGNBP2 GGT1 GGT1-2 GLIPR1L1 GMCL1 GMCL2 GOLGA3 HOOK1 HSF2 HSPA2 INPP5B IQCF1 IQCG IZUMO1 IZUMO1R KCNU1 KDM3A KLC3 KLHDC3 KLHL10 LCN6 LLCFC1 LRGUK LRRC52 LRRC6 LY6K LYZL4 LYZL6 MAATS1 MAPK8IP2 MEA1 MEIG1 MFSD14A MNS1 MORN2 MYCBP NLRP5 NME5 NME8 NPM2 NUPR1 OAZ3 ODF1 ODF2 ODF3 ODF4 OVGP1 PACRG PAIP2 PARP11 PCSK4 PCSK5 PDILT PI3 PICK1 PIH1D3 PKDREJ PLAC1 PLCB1 PLCD3 PLCD4 PLCZ1 PMFBP1 POMZP3 PRKAR2A PRM1 PRM2 PRM3 PRND PRSS21 PRSS37 PRSS55 PTPRN QRICH2 RAB3A RFX2 RGN RIMBP3 RIMBP3B RIMBP3C RIMS1 RNASE10 RNF114 RNF151 ROPN1 ROPN1B ROPN1L RSPH1 RSPH6A SEMG1 SEMG2 SEPTIN1 SEPTIN12 SEPTIN14 SEPTIN2 SEPTIN4 SEPTIN6 SEPTIN7 SERPINB5 SERPINE2 SHCBP1L SLC19A1 SLC22A14 SLC22A16 SLC2A14 SLC9B1 SLC9B2 SLC9C1 SLCO4C1 SMCP SOX30 SPA17 SPACA1 SPACA3 SPACA4 SPACA6 SPACA7 SPAG1 SPAG11B SPAG16 SPAG17 SPAG4 SPAG6 SPAG8 SPAM1 SPATA16 SPATA19 SPATA20 SPATA24 SPATA31D4 SPATA31E1 SPATA46 SPATA6 SPATA6L SPATA9 SPATC1L SPEF2 SPEM1 SPESP1 SPIN4 SPIRE1 SPIRE2 SPTBN4 STX2 STXBP1 SUN5 SYT6 TBATA TBC1D20 TBC1D21 TCP11 TCTE1 TDRP TEKT1 TEKT2 TEKT3 TEKT4 TEKT5 TESMIN TEX101 TEX14 TEX43 TFPT THEG TLE6 TMEM95 TMF1 TMPRSS12 TNP1 TNP2 TPPP2 TPPP3 TSGA10 TSNAXIP1 TSPY10 TSPY3 TSSK2 TSSK3 TSSK4 TSSK6 TTC12 TTC21A TUBB8 UNC13B VASH1 VASH2 VPS54 WBP2NL WDR66 ZAN ZMYND15 ZP1 ZP2 ZP3 ZP4 ZPBP ZPBP2 ZSCAN2","8.257","306","C66356","false","C66356"
"0.0","0.0","0","false","ARMC2 CFAP206 CFAP43 CFAP44 CFAP47 CFAP58 CFAP65 CFAP69 DNAH1 DZIP1 FSIP2 MAATS1 QRICH2 SPEF2 TTC21A WDR66","4.0","16","C66301","false","C66301"
"0.0","0.0","0","false","FZD4 FZD5 HMX3 LEF1 LGR4 LGR5 NDP ROR2 RSPO3 SFRP1 SFRP2 WNT2 WNT2B WNT3 WNT4 WNT5A WNT7A WNT7B WNT9B ZNF35","4.322","20","C66082","false","C66082"
"0.0","0.0","0","false","AKR1C3 CYP17A1 CYP19A1 CYP1A1 CYP1B1 CYP7B1 DHCR24 HPGD HSD11B2 HSD17B2 HSD17B3 HSD17B4 SRD5A1 SRD5A2 STS TIPARP VCX","4.087","17","C66090","false","C66090"
"0.0","0.0","0","false","CCDC63 CFAP45 CFAP52 ENKUR MNS1 NME5 PACRG SPAG8 TEKT1 TEKT2 TEKT3 TEKT4","3.585","12","C66304","false","C66304"
"0.0","0.0","0","false","AR NCOA4 NKX3-1","1.585","3","C66115","false","C66115"
"0.0","0.0","0","false","HSF2 VASH2 ZMYND15","1.585","3","C66335","false","C66335"
"0.0","0.0","0","false","A2M ABCC8 ACE ACE2 ACOD1 ACTR2 ACTR3 ACVR1 ACVR2A ADAM15 ADAM28 ADAMTS1 ADAMTS2 ADCY10 ADCY3 ADCY7 ADCYAP1 ADCYAP1R1 ADGRG1 ADGRG2 ADIG ADM ADRA2A ADRA2B AFP AGRP AGT AKR1C3 AKT1 ALDOA ALOX15B AMBP AMH AMHR2 ANG ANGPT2 ANTXR1 ANXA1 APELA APOB APOL2 APP AR AREG ARG1 ARNT ARNTL ARRB2 ARSA ASCL2 ATP1A4 ATP2B4 ATP7A AVP AVPR1A AXL B4GALNT1 BAD BAG6 BAK1 BASP1 BAX BBS1 BBS2 BBS4 BCAP31 BCL2 BCL2L1 BCL2L10 BCL2L11 BCL2L2 BCL2L2-PABPN1 BCL6 BIK BIRC2 BIRC3 BMP15 BMP4 BMP5 BMP6 BMP7 BMPR1A BMPR1B BMPR2 BNC1 BOK BRINP1 BSG C11orf74 C3 CADM1 CALCA CALR CAPN2 CASP2 CASP3 CASP8 CBL CBS CCDC134 CCN1 CCND1 CCR6 CD38 CD46 CD9 CDKL2 CDKN1B CDX2 CDX4 CEBPA CEBPB CFAP97D1 CFTR CGA CGB3 CGB5 CGB7 CGB8 CHD7 CHFR CIB1 CITED1 CITED2 CLDN11 CLDN4 CLIC4 CLIC5 CLOCK CNOT9 CNR1 CNTFR COL16A1 COL9A3 CORIN CORT CRH CRHBP CRHR1 CRIP1 CRKL CRTAP CSF1 CSF2 CTDNEP1 CTNNA1 CTNNB1 CTSB CXADR CYP17A1 CYP19A1 CYP1A1 CYP1B1 CYP26B1 CYP27B1 CYP7B1 DACH1 DACH2 DBH DDR1 DEDD DHCR24 DHH DIAPH2 DLD DLG1 DLX3 DMRT2 DMRT3 DMRTA1 DMRTA2 DNAJC19 DNM2 DRD1 DRD5 DSG1 DUOX2 EDN1 EDNRA EGFR EGLN1 EGR1 ENDOU ENO2 ENO4 EOMES EPAS1 EPN1 EPO EPOR EPYC EREG ESR1 ETNK2 ETV2 ETV6 FAM71F2 FBLN1 FBN2 FER FGF10 FGF8 FGF9 FGFR2 FKBP4 FOLR1 FOS FOSB FOSL1 FOXA1 FOXA3 FOXC1 FOXF2 FOXJ3 FOXL2 FOXO3 FRS2 FSHB FSHR FST FUT7 FZD4 FZD5 GABRB1 GAL3ST1 GALNT3 GAPDHS GAS2 GATA1 GATA2 GATA3 GATA4 GATA6 GCM1 GDF10 GDF7 GHRHR GHRL GHSR GIP GJA1 GJA10 GJB1 GJB2 GJB3 GJB5 GK2 GLI1 GLI3 GLRA1 GLRB GNAS GOLGA2 GORASP2 GPX4 GRB2 GRHL2 HAND1 HAS2 HAVCR2 HES1 HESX1 HEXB HEY1 HEY2 HIF1A HMX3 HNF1A HNF1B HNF4A HOXA10 HOXA11 HOXA13 HOXA9 HOXD10 HOXD13 HOXD9 HPGD HS6ST1 HSD11B2 HSD17B2 HSD17B3 HSD17B4 HSP90AB1 HSPA5 HSPB11 HTRA1 HYAL3 IDH1 IDO1 IFT20 IFT27 IFT81 IGF1R IGF2 IGF2R IGFBP2 IGFBP5 IGFBP7 IGSF8 IHH IL10 IL1A IL1B IL4R IMMP2L INHA INHBA INHBB INSL3 INSR INSRR IRF2BPL ITGA2 ITGA3 ITGA5 ITGB1 ITGB3 ITGB4 ITGB8 JAG2 JAM2 JAM3 JUNB KCNE1 KDR KISS1 KIT KITLG KLF1 KLK14 KRT19 KRT9 LDHC LDOC1 LEF1 LEP LFNG LGALS9 LGR4 LGR5 LHB LHCGR LHFPL2 LHX1 LHX3 LHX4 LHX9 LIF LIMK2 LNPEP LRP2 LRRC8A LRRK2 LZTFL1 MAFF MAGED2 MAK MAMLD1 MAP2K1 MAP2K6 MAP3K4 MAPK1 MAPK14 MAS1 MAST2 MDFI MDK MERTK MFGE8 MME MMP14 MMP19 MMP2 MMP9 MOS MST1 MST1R MSTN MTNR1A MTOR MYBL1 MYCBPAP MYH9 MYOCD NCOA1 NCOA4 NCOR2 NDP NDRG3 NECTIN2 NECTIN3 NELL2 NEURL1 NEUROG1 NHLH2 NKX2-1 NKX3-1 NODAL NOG NOS3 NOTCH1 NOTCH2 NPAS1 NPHP1 NPHP4 NPPA NPPC NPR2 NPY5R NR0B1 NR2C2 NR2F2 NR3C1 NR5A1 NR6A1 NRIP1 NTRK1 NUDT1 OPRM1 OR10J1 OR1D2 OR2H2 OR7C1 OSBP2 OSR1 OVOL1 OVOL2 OXT OXTR P2RX1 PAFAH1B1 PAFAH1B2 PAFAH1B3 PAM PANK2 PANX1 PAPPA PAQR5 PAQR7 PAQR8 PARK7 PATZ1 PAX5 PBX1 PCDH12 PCYT1B PDE3A PDE5A PDGFA PDGFB PDGFRA PDGFRB PDIK1L PGAM2 PGF PGK2 PGR PHB2 PHLDA2 PKD1 PKD2 PLA2G10 PLA2G3 PLA2G4B PLA2G4C PLA2G6 PLAG1 PLAT PLEKHA1 PLG PLTP PMCH PNOC POU4F2 PPARD PPARG PPP1R1B PPP1R9B PPP3R2 PRDM1 PRDM14 PRDX3 PRDX4 PRKACA PRKACG PRKAG1 PRL PRLHR PRLR PROK2 PRR19 PSAP PSAPL1 PSG1 PSG11 PSG2 PSG3 PSG4 PSG5 PSG6 PSG7 PSG9 PSMA8 PSMD13 PSME4 PTAFR PTCH1 PTEN PTGDR PTGFR PTGS2 PTHLH PTK2 PTK2B PTN PTPN11 PTPN6 PTX3 PZP RAB13 RARA RARG RBP4 RBPJ RDH10 RECK REN RGS2 RHBDD1 RHOBTB3 RLN1 RLN2 ROBO2 ROR2 ROS1 RPS6KA2 RPS6KB1 RSPO3 RXFP1 RXFP2 SALL1 SCGB1A1 SCX SDC1 SELENOF SERPINA5 SERPINF1 SFRP1 SFRP2 SGPL1 SHH SHISA6 SIRT1 SIRT2 SIRT7 SIX4 SIX5 SKIL SLC25A31 SLC26A3 SLC26A6 SLC26A8 SLC2A1 SLC2A8 SLC38A1 SLC38A2 SLC4A2 SLC6A4 SLIRP SLIT2 SLIT3 SMAD1 SMAD4 SMAD5 SNAI1 SOCS3 SOD1 SORD SOS1 SOX15 SOX17 SOX8 SOX9 SPATA2 SPHK2 SPINK1 SPINK2 SPINT1 SPINT2 SPP1 SRC SRD5A1 SRD5A2 SSTR1 SSTR2 SSTR3 ST14 STAT5B STC1 STC2 STK11 STK35 STRA6 STS SYT8 TAC1 TAC3 TACR1 TAZ TBX3 TBXT TCF21 TEAD3 TEAD4 TESC TFAP2C TFEB TGFB1 TGFB2 TGFB3 TGFBR1 TGFBR2 TH THBD THRA THRB TIMP4 TIPARP TLR3 TLR5 TLR9 TMED2 TMEM119 TNC TNFAIP6 TNFSF10 TP63 TRPC3 TRPC6 TRPC7 TRPM2 TSPAN8 TSSK1B TTC26 TTLL9 TXNDC2 TXNDC8 TXNRD3 TYRO3 UBTFL1 UCHL1 UCN UCP2 UNC5C VCX VDAC2 VGF VMP1 WASHC5 WDR19 WFDC2 WIPF3 WNT2 WNT2B WNT3 WNT4 WNT5A WNT7A WNT7B WNT9B WT1 YBX3 ZFP36L1 ZFPM2 ZMIZ1 ZNF148 ZNF296 ZNF35","9.407","679","C66354","false","C66354"
"0.0","0.0","0","false","GJA1 GJA10 GJB1 GJB2 GJB3 GJB5 LRRC8A P2RX1 PANX1","3.17","9","C66139","false","C66139"
