"CD_AnnotatedMembers_Overlap","CD_AnnotatedMembers_Pvalue","CD_AnnotatedMembers_Size","CD_CommunityName","CD_Labeled","CD_MemberList","CD_MemberList_LogSize","CD_MemberList_Size","name","selected"
"0.0","0.0","0","false","PTBP1 SSB","1.0","2","C236","false","C236"
"0.0","0.0","0","false","CD46 CR1","1.0","2","C237","false","C237"
"0.0","0.0","0","false","GYPA SCARB2","1.0","2","C238","false","C238"
"0.0","0.0","0","false","GYPA SCARB1","1.0","2","C239","false","C239"
"0.0","0.0","0","false","AGTR1 GRK2","1.0","2","C240","false","C240"
"0.0","0.0","0","false","AGTR1 AVP","1.0","2","C241","false","C241"
"0.0","0.0","0","false","ANPEP NCAM1","1.0","2","C242","false","C242"
"0.0","0.0","0","false","APOE PRMT1","1.0","2","C243","false","C243"
"0.0","0.0","0","false","APOE LDLR","1.0","2","C244","false","C244"
"0.0","0.0","0","false","EFNB2 NRP1","1.0","2","C245","false","C245"
"0.0","0.0","0","false","EGFR SLC10A1","1.0","2","C246","false","C246"
"0.0","0.0","0","false","CLDN1 CLDN9","1.0","2","C247","false","C247"
"0.0","0.0","0","false","DDX6 EIF3B","1.0","2","C248","false","C248"
"0.0","0.0","0","false","NECTIN1 PVR","1.0","2","C249","false","C249"
"0.0","0.0","0","false","RAB7A VCP","1.0","2","C250","false","C250"
"0.0","0.0","0","false","WWP1 WWP2","1.0","2","C251","false","C251"
"0.0","0.0","0","false","PARP9 PLSCR1","1.0","2","C252","false","C252"
"0.0","0.0","0","false","PARP10 PARP16","1.0","2","C253","false","C253"
"0.0","0.0","0","false","HSP90AB1 PCBP1","1.0","2","C254","false","C254"
"0.0","0.0","0","false","UVRAG VPS18","1.0","2","C255","false","C255"
"0.0","0.0","0","false","DDX6 PCBP1","1.0","2","C256","false","C256"
"0.0","0.0","0","false","NPC1 SMPD1","1.0","2","C257","false","C257"
"0.0","0.0","0","false","SELPLG SIGLEC1","1.0","2","C258","false","C258"
"0.0","0.0","0","false","DYNLT1 PVR","1.0","2","C259","false","C259"
"0.0","0.0","0","false","MGAT1 MGAT5","1.0","2","C260","false","C260"
"0.0","0.0","0","false","TNFRSF14 TNFRSF4","1.0","2","C261","false","C261"
"0.0","0.0","0","false","GTF2B TP53","1.0","2","C262","false","C262"
"0.0","0.0","0","false","MON1B RAB7A","1.0","2","C263","false","C263"
"0.0","0.0","0","false","PHB TP53","1.0","2","C264","false","C264"
"0.0","0.0","0","false","CLDN6 CLDN9","1.0","2","C265","false","C265"
"0.0","0.0","0","false","SLC20A2 XPR1","1.0","2","C266","false","C266"
"0.0","0.0","0","false","CCNT2 GTF2B","1.0","2","C267","false","C267"
"0.0","0.0","0","false","CDK1 KPNA2","1.0","2","C268","false","C268"
"0.0","0.0","0","false","CCNT2 HTATSF1","1.0","2","C269","false","C269"
"0.0","0.0","0","false","CCR5 SELPLG","1.0","2","C270","false","C270"
"0.0","0.0","0","false","CXCR4 ITCH","1.0","2","C271","false","C271"
"0.0","0.0","0","false","EDEM2 MAN2A1","1.0","2","C272","false","C272"
"0.0","0.0","0","false","SLC1A5 SLC3A2","1.0","2","C273","false","C273"
"0.0","0.0","0","false","CCL2 MRC1","1.0","2","C274","false","C274"
"0.0","0.0","0","false","CD86 MRC1","1.0","2","C275","false","C275"
"0.0","0.0","0","false","IRF7 TRIM25","1.0","2","C276","false","C276"
"0.0","0.0","0","false","CTSB LAMP1","1.0","2","C277","false","C277"
"0.0","0.0","0","false","CALCOCO2 LRSAM1","1.0","2","C278","false","C278"
"0.0","0.0","0","false","CANX EDEM2","1.0","2","C279","false","C279"
"0.0","0.0","0","false","IRF7 SHFL","1.0","2","C280","false","C280"
"0.0","0.0","0","false","EIF2AK4 EIF3B","1.0","2","C281","false","C281"
"0.0","0.0","0","false","CTSL SERPINB3","1.0","2","C282","false","C282"
"0.0","0.0","0","false","VAMP8 VPS18","1.0","2","C283","false","C283"
"0.0","0.0","0","false","CANX TBC1D20","1.0","2","C284","false","C284"
"0.0","0.0","0","false","GRK2 HTR2A","1.0","2","C285","false","C285"
"0.0","0.0","0","false","ST6GALNAC2 ST6GALNAC4","1.0","2","C286","false","C286"
"0.0","0.0","0","false","RPSA TRIM31","1.0","2","C287","false","C287"
"0.0","0.0","0","false","CCNT2 CDK1","1.0","2","C288","false","C288"
"0.0","0.0","0","false","EIF3B KPNA2","1.0","2","C289","false","C289"
"0.0","0.0","0","false","BICD1 GALNT1","1.0","2","C290","false","C290"
"0.0","0.0","0","false","KPNA2 SMARCB1","1.0","2","C291","false","C291"
"0.0","0.0","0","false","GSK3A USF2","1.0","2","C292","false","C292"
"0.0","0.0","0","false","SLC20A2 SLC52A1","1.0","2","C293","false","C293"
"0.0","0.0","0","false","SELPLG ST6GAL1","1.0","2","C294","false","C294"
"0.0","0.0","0","false","SERPINB3 USF1","1.0","2","C295","false","C295"
"0.0","0.0","0","false","GSK3A LRSAM1","1.0","2","C296","false","C296"
"0.0","0.0","0","false","MGAT5 NECTIN1","1.0","2","C297","false","C297"
"0.0","0.0","0","false","MON1B RCC1","1.0","2","C298","false","C298"
"0.0","0.0","0","false","KPNA3 WWP2","1.0","2","C299","false","C299"
"0.0","0.0","0","false","EPHA2 HYAL2","1.0","2","C300","false","C300"
"0.0","0.0","0","false","HTR2A KPNA3","1.0","2","C301","false","C301"
"0.0","0.0","0","false","APOE XPR1","1.0","2","C302","false","C302"
"0.0","0.0","0","false","SLC1A5 SLC6A19","1.0","2","C303","false","C303"
"0.0","0.0","0","false","LAMP1 NPC1","1.0","2","C304","false","C304"
"0.0","0.0","0","false","IRF7 PARP9","1.0","2","C305","false","C305"
"0.0","0.0","0","false","GAS6 ITGAV","1.0","2","C306","false","C306"
"0.0","0.0","0","false","BCL2L1 DENR","1.0","2","C307","false","C307"
"0.0","0.0","0","false","CAV1 DAG1","1.0","2","C308","false","C308"
"0.0","0.0","0","false","CD209 SIGLEC1","1.0","2","C309","false","C309"
"0.0","0.0","0","false","CD209 TYRO3","1.0","2","C310","false","C310"
"0.0","0.0","0","false","VAMP8 VAPA","1.0","2","C311","false","C311"
"0.0","0.0","0","false","FURIN GAS6","1.0","2","C312","false","C312"
"0.0","0.0","0","false","RAB43 USP6NL","1.0","2","C313","false","C313"
"0.0","0.0","0","false","APOE DEK","1.0","2","C314","false","C314"
"0.0","0.0","0","false","AXL CD209","1.0","2","C315","false","C315"
"0.0","0.0","0","false","RPSA SSB","1.0","2","C316","false","C316"
"0.0","0.0","0","false","PARP16 PARP9","1.0","2","C317","false","C317"
"0.0","0.0","0","false","SLAMF1 UVRAG","1.0","2","C318","false","C318"
"0.0","0.0","0","false","PIKFYVE TPCN2","1.0","2","C319","false","C319"
"0.0","0.0","0","false","HCFC1 USF1","1.0","2","C320","false","C320"
