"__mclCluster","name","selected"
"10","ST6GALNAC2","false","ST6GALNAC2"
"10","ST6GALNAC4","false","ST6GALNAC4"
"10","ST6GALNAC3","false","ST6GALNAC3"
"16","SLC52A1","false","SLC52A1"
"16","SLC20A2","false","SLC20A2"
"23","SPCS1","false","SPCS1"
"24","RAB43","false","RAB43"
"2","PC","false","PC"
"7","PARP16","false","PARP16"
"2","NMT2","false","NMT2"
"1","MON1B","false","MON1B"
"4","MGAT4C","false","MGAT4C"
"2","LAMTOR5","false","LAMTOR5"
"8","KPNA6","false","KPNA6"
"13","JPT2","false","JPT2"
"1","LRRC15","false","LRRC15"
"7","PARP9","false","PARP9"
"7","SHFL","false","SHFL"
"8","KPNA3","false","KPNA3"
"17","USF1","false","USF1"
"7","PARP10","false","PARP10"
"2","PPID","false","PPID"
"17","USF2","false","USF2"
"4","ST3GAL4","false","ST3GAL4"
"4","ST3GAL3","false","ST3GAL3"
"10","ST3GAL2","false","ST3GAL2"
"4","MGAT4B","false","MGAT4B"
"4","MGAT2","false","MGAT2"
"4","MGAT5","false","MGAT5"
"4","MGAT4A","false","MGAT4A"
"4","ST6GAL1","false","ST6GAL1"
"4","FUT8","false","FUT8"
"13","TPCN1","false","TPCN1"
"14","HYAL2","false","HYAL2"
"8","RAN","false","RAN"
"24","USP6NL","false","USP6NL"
"1","SLC10A1","false","SLC10A1"
"10","ST3GAL1","false","ST3GAL1"
"25","DYNLT1","false","DYNLT1"
"5","EIF3A","false","EIF3A"
"5","EIF3L","false","EIF3L"
"5","EIF2D","false","EIF2D"
"2","SMARCB1","false","SMARCB1"
"5","EIF3B","false","EIF3B"
"5","EIF3G","false","EIF3G"
"5","EIF3D","false","EIF3D"
"2","ITCH","false","ITCH"
"17","SERPINB3","false","SERPINB3"
"1","SMPD1","false","SMPD1"
"2","CTBP1","false","CTBP1"
"2","LIG4","false","LIG4"
"2","CSNK1A1","false","CSNK1A1"
"6","DDX6","false","DDX6"
"6","SSB","false","SSB"
"6","DHX9","false","DHX9"
"6","PCBP2","false","PCBP2"
"6","PCBP1","false","PCBP1"
"6","CSDE1","false","CSDE1"
"18","HCFC1","false","HCFC1"
"18","HCFC2","false","HCFC2"
"1","CLEC5A","false","CLEC5A"
"5","RPSA","false","RPSA"
"2","PARD6A","false","PARD6A"
"3","IST1","false","IST1"
"3","CHMP2A","false","CHMP2A"
"3","RNF103-CHMP3","false","RNF103-CHMP3"
"3","CHMP1B","false","CHMP1B"
"3","CHMP4A","false","CHMP4A"
"3","E9PSI1_HUMAN","false","E9PSI1_HUMAN"
"3","CHMP7","false","CHMP7"
"3","VPS28","false","VPS28"
"3","MVB12B","false","MVB12B"
"3","MVB12A","false","MVB12A"
"3","VPS37D","false","VPS37D"
"3","VPS37A","false","VPS37A"
"3","CHMP6","false","CHMP6"
"3","VPS37C","false","VPS37C"
"3","CHMP4C","false","CHMP4C"
"3","VPS37B","false","VPS37B"
"3","CHMP3","false","CHMP3"
"3","VPS4A","false","VPS4A"
"3","CHMP5","false","CHMP5"
"3","CHMP4B","false","CHMP4B"
"3","CHMP1A","false","CHMP1A"
"8","KPNA2","false","KPNA2"
"8","RCC1","false","RCC1"
"8","NUP153","false","NUP153"
"1","CDHR3","false","CDHR3"
"15","CLDN6","false","CLDN6"
"3","VTA1","false","VTA1"
"3","VPS4B","false","VPS4B"
"1","ITGAV","false","ITGAV"
"19","NECTIN4","false","NECTIN4"
"1","PCSK5","false","PCSK5"
"1","TNFRSF14","false","TNFRSF14"
"25","PVR","false","PVR"
"1","GPR15","false","GPR15"
"7","PLSCR1","false","PLSCR1"
"2","GFI1","false","GFI1"
"19","NECTIN1","false","NECTIN1"
"1","SLAMF1","false","SLAMF1"
"20","GTF2B","false","GTF2B"
"20","HTATSF1","false","HTATSF1"
"20","CCNT2","false","CCNT2"
"1","MOG","false","MOG"
"1","SELPLG","false","SELPLG"
"15","F11R","false","F11R"
"1","CXCR6","false","CXCR6"
"1","CCL1","false","CCL1"
"2","WWP2","false","WWP2"
"2","INSR","false","INSR"
"1","ITGB5","false","ITGB5"
"1","CXADR","false","CXADR"
"1","ITGB6","false","ITGB6"
"1","ITGB7","false","ITGB7"
"1","CAV2","false","CAV2"
"11","MOGS","false","MOGS"
"11","EDEM2","false","EDEM2"
"3","TSG101","false","TSG101"
"4","MAN1B1","false","MAN1B1"
"21","TBC1D20","false","TBC1D20"
"11","VAPA","false","VAPA"
"2","HSPA1A","false","HSPA1A"
"21","RAB1B","false","RAB1B"
"4","MAN2A1","false","MAN2A1"
"23","SPCS3","false","SPCS3"
"4","MGAT1","false","MGAT1"
"18","CREB3","false","CREB3"
"2","WWP1","false","WWP1"
"1","NEDD4","false","NEDD4"
"2","TRIM31","false","TRIM31"
,"LRSAM1","false","LRSAM1"
"22","SLC3A2","false","SLC3A2"
"22","SLC1A5","false","SLC1A5"
"5","MCTS1","false","MCTS1"
"4","GALNT1","false","GALNT1"
"2","BICD1","false","BICD1"
"2","CDK1","false","CDK1"
"1","TNFRSF4","false","TNFRSF4"
"1","CR2","false","CR2"
"2","SIVA1","false","SIVA1"
"5","DENR","false","DENR"
"1","CD80","false","CD80"
"2","GSK3A","false","GSK3A"
"1","GAS6","false","GAS6"
"14","EPHA2","false","EPHA2"
"1","DAG1","false","DAG1"
"2","HSPA1B","false","HSPA1B"
"2","CTBP2","false","CTBP2"
"1","TYRO3","false","TYRO3"
"14","EFNB3","false","EFNB3"
"3","PDCD6IP","false","PDCD6IP"
"5","EIF3F","false","EIF3F"
"2","BCL2L1","false","BCL2L1"
"11","VAPB","false","VAPB"
"21","RAB1A","false","RAB1A"
"2","TRIM25","false","TRIM25"
"5","EIF2AK4","false","EIF2AK4"
"3","CHMP2B","false","CHMP2B"
"9","CALCOCO2","false","CALCOCO2"
"9","ATG5","false","ATG5"
"9","UVRAG","false","UVRAG"
"9","ATG7","false","ATG7"
"9","ATG16L2","false","ATG16L2"
"2","DDB1","false","DDB1"
"9","ATG16L1","false","ATG16L1"
"1","RAB7A","false","RAB7A"
"1","VPS18","false","VPS18"
"1","ARL8B","false","ARL8B"
"2","PRMT1","false","PRMT1"
"16","XPR1","false","XPR1"
"2","DEK","false","DEK"
"2","GSK3B","false","GSK3B"
"2","TP53","false","TP53"
"1","NPC1","false","NPC1"
"26","IDE","false","IDE"
"2","VCP","false","VCP"
"15","CLDN1","false","CLDN1"
"1","MRC1","false","MRC1"
"2","PPIA","false","PPIA"
"1","HAVCR1","false","HAVCR1"
"1","LAMP1","false","LAMP1"
"6","PTBP1","false","PTBP1"
"1","CD46","false","CD46"
"15","CLDN9","false","CLDN9"
"19","NECTIN2","false","NECTIN2"
"11","CANX","false","CANX"
"1","CR1","false","CR1"
"1","GYPA","false","GYPA"
"1","ITGB3","false","ITGB3"
"2","PHB","false","PHB"
"1","CXCR4","false","CXCR4"
"1","CD86","false","CD86"
"1","CD55","false","CD55"
"1","SCARB2","false","SCARB2"
"1","CD81","false","CD81"
"1","SCARB1","false","SCARB1"
"1","LDLR","false","LDLR"
"12","HTR2A","false","HTR2A"
"12","AVP","false","AVP"
"1","EPS15","false","EPS15"
"12","AVPR1B","false","AVPR1B"
"1","CAV1","false","CAV1"
"12","GRK2","false","GRK2"
"1","VAMP8","false","VAMP8"
"12","AGTR1","false","AGTR1"
"1","FURIN","false","FURIN"
"1","NCAM1","false","NCAM1"
"14","EFNB2","false","EFNB2"
"7","IRF7","false","IRF7"
"1","ITGB1","false","ITGB1"
"1","TFRC","false","TFRC"
"2","HSP90AB1","false","HSP90AB1"
"1","DPP4","false","DPP4"
"1","CTSB","false","CTSB"
"1","CTSL","false","CTSL"
"1","SIGLEC1","false","SIGLEC1"
"1","BSG","false","BSG"
"1","CLEC4G","false","CLEC4G"
"1","CLEC4M","false","CLEC4M"
"1","CD209","false","CD209"
"22","SLC6A19","false","SLC6A19"
"1","AXL","false","AXL"
"1","ANPEP","false","ANPEP"
"1","ITGA2","false","ITGA2"
"13","TPCN2","false","TPCN2"
"1","ITGA5","false","ITGA5"
"1","CCR5","false","CCR5"
"1","EGFR","false","EGFR"
"1","NRP1","false","NRP1"
"1","ICAM1","false","ICAM1"
"13","PIKFYVE","false","PIKFYVE"
"26","APOE","false","APOE"
"1","CCL2","false","CCL2"
"1","CD4","false","CD4"
"1","ACE2","false","ACE2"
