"CD_AnnotatedMembers_Overlap","CD_AnnotatedMembers_Pvalue","CD_AnnotatedMembers_Size","CD_CommunityName","CD_Labeled","CD_MemberList","CD_MemberList_LogSize","CD_MemberList_Size","name","selected"
"0.0","0.0","0","false","CHMP1A CHMP1B CHMP2A CHMP2B CHMP3 CHMP4A CHMP4B CHMP4C CHMP5 CHMP6 CHMP7 E9PSI1_HUMAN IST1 MVB12A MVB12B PDCD6IP RNF103-CHMP3 TSG101 VPS28 VPS37A VPS37B VPS37C VPS37D VPS4A VPS4B VTA1","4.7","26","C5850","false","C5850"
"0.0","0.0","0","false","CAV2 CCL1 CCL2 CCR5 CD4 CD46 CD55 CD80 CD86 CDHR3 CR1 CR2 CXADR CXCR4 CXCR6 DYNLT1 F11R GPR15 GYPA HAVCR1 ICAM1 ITGA2 ITGA5 ITGAV ITGB1 ITGB3 ITGB5 ITGB6 ITGB7 LRRC15 MOG MRC1 NCAM1 NECTIN1 NECTIN2 NECTIN4 PCSK5 PVR SCARB2 SELPLG SIGLEC1 SLAMF1 TNFRSF14 TNFRSF4","5.459","44","C5851","false","C5851"
"0.0","0.0","0","false","EGFR INSR SLC10A1","1.585","3","C5858","false","C5858"
"0.0","0.0","0","false","EFNB2 EFNB3 EPHA2 HYAL2","2.0","4","C5873","false","C5873"
"0.0","0.0","0","false","CAV1 DAG1","1.0","2","C5863","false","C5863"
"0.0","0.0","0","false","ST3GAL1 ST3GAL2 ST6GALNAC2 ST6GALNAC3 ST6GALNAC4","2.322","5","C5848","false","C5848"
"0.0","0.0","0","false","CLEC5A SCARB1","1.0","2","C5870","false","C5870"
"0.0","0.0","0","false","CDK1 HSP90AB1 HSPA1A HSPA1B KPNA2 KPNA3 KPNA6 NUP153 PHB PPIA PPID RAN RCC1","3.7","13","C5854","false","C5854"
"0.0","0.0","0","false","CANX VAPA VAPB VCP","2.0","4","C5860","false","C5860"
"0.0","0.0","0","false","IRF7 PARP10 PARP16 PARP9 PLSCR1 SHFL TRIM25 TRIM31","3.0","8","C5869","false","C5869"
"0.0","0.0","0","false","DDB1 GFI1 ITCH LAMTOR5 NMT2 PC PRMT1 TP53 WWP1","3.17","9","C5856","false","C5856"
"0.0","0.0","0","false","ARL8B MON1B RAB1A RAB1B RAB7A SPCS1 SPCS3 TBC1D20 VPS18","3.17","9","C5862","false","C5862"
"0.0","0.0","0","false","RAB43 SMARCB1 USP6NL WWP2","2.0","4","C5875","false","C5875"
