"CD_AnnotatedMembers_Overlap","CD_AnnotatedMembers_Pvalue","CD_AnnotatedMembers_Size","CD_CommunityName","CD_Labeled","CD_MemberList","CD_MemberList_LogSize","CD_MemberList_Size","name","selected"
"0.0","0.0","0","false","BCL2 BCL2L11 EDN3 EDNRA EDNRB GLI3 GNA11 KIT MEF2C MITF NF1 SNAI2 SOD2 SOX10 TBX2 ZEB2","4.0","16","C250250","false","C250250"
"0.0","0.0","0","false","ARCN1 MYSM1 RACK1 USP13","2.0","4","C250258","false","C250258"
"0.0","0.0","0","false","MLPH MREG MYO5A MYO7A RAB27A SHROOM2","2.585","6","C250251","false","C250251"
"0.0","0.0","0","false","DCTN1 DCTN2 FIG4 PIKFYVE","2.0","4","C250257","false","C250257"
"0.0","0.0","0","false","ADAMTS20 ADAMTS9 ANKRD27 AP1B1 AP1G1 AP1M1 AP1S1 AP1S2 AP1S3 AP3B1 AP3D1 AP3M1 AP3S1 AP3S2 ARCN1 ARL6 ASIP ATP7A ATRN BBS2 BBS4 BBS5 BBS7 BCL2 BCL2L11 BLOC1S1 BLOC1S2 BLOC1S3 BLOC1S4 BLOC1S5 BLOC1S6 CD63 DCT DCTN1 DCTN2 DRD2 DTNBP1 EDA EDAR EDN3 EDNRA EDNRB EN1 FIG4 GLI3 GNA11 GPR143 HPS1 HPS3 HPS4 HPS5 HPS6 KIF13A KIT LRMDA LYST MC1R MEF2C MFSD12 MITF MKKS MLPH MREG MYO5A MYO7A MYSM1 NF1 OCA2 PIKFYVE PMEL POMC RAB11A RAB11B RAB17 RAB1A RAB27A RAB29 RAB32 RAB38 RACK1 SHROOM2 SLC24A5 SLC45A2 SNAI2 SNAPIN SOD2 SOX10 TBX2 TH TRAPPC6A TYR TYRP1 USP13 VPS33A VPS33B ZEB2","6.585","96","C250261","false","C250261"
"0.0","0.0","0","false","BLOC1S1 BLOC1S2 BLOC1S3 BLOC1S4 BLOC1S5 BLOC1S6 DTNBP1 HPS1 HPS3 HPS4 HPS5 HPS6 SNAPIN","3.7","13","C250247","false","C250247"
"0.0","0.0","0","false","ARL6 BBS2 BBS4 BBS5 BBS7 MKKS","2.585","6","C250253","false","C250253"
"0.0","0.0","0","false","AP1B1 AP1G1 AP1M1 AP1S1 AP1S2 AP1S3 AP3B1 AP3D1 AP3M1 AP3S1 AP3S2","3.459","11","C250249","false","C250249"
"0.0","0.0","0","false","ASIP ATRN DCT EDA EDAR GPR143 LRMDA MC1R MFSD12 OCA2 PMEL SLC24A5 SLC45A2 TYR TYRP1","3.907","15","C250248","false","C250248"
"0.0","0.0","0","false","ATP7A DRD2 EN1 POMC TH","2.322","5","C250255","false","C250255"
"0.0","0.0","0","false","ADAMTS20 ADAMTS9","1.0","2","C250260","false","C250260"
"0.0","0.0","0","false","ANKRD27 KIF13A RAB32 RAB38","2.0","4","C250254","false","C250254"
"0.0","0.0","0","false","CD63","0.0","1","C250259","false","C250259"
"0.0","0.0","0","false","RAB11A RAB11B RAB17 RAB1A RAB29 TRAPPC6A VPS33A VPS33B","3.0","8","C250252","false","C250252"
"0.0","0.0","0","false","LYST","0.0","1","C250256","false","C250256"
